title,url
연애소설 (Love Story) ft. IU,https://www.youtube.com/watch?v=daA1hQPMr_w&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=106&pp=iAQB8AUB
Forever (영원),https://www.youtube.com/watch?v=qUc5PKCoipM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=107&pp=iAQB8AUB
OHAYO MY NIGHT,https://www.youtube.com/watch?v=9Unrl9Yi55s&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=108&pp=iAQB8AUB
Foolish Love,https://www.youtube.com/watch?v=-UMAz1KMHuI&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=109&pp=iAQB8AUB
Do you want to hear,https://www.youtube.com/watch?v=HeRY4DTUkiw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=110&pp=iAQB8AUB
Think About You,https://www.youtube.com/watch?v=-0T0Qb5RW7I&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=111&pp=iAQB8AUB
Shiny Star (2020) (밤 하늘의 별을(2020)),https://www.youtube.com/watch?v=ZAHtwfJrJp0&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=112&pp=iAQB8AUB
도망가자,https://www.youtube.com/watch?v=0q6DR6EiPPo&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=113&pp=iAQB8AUB
"Love, Maybe (사랑인가 봐)",https://www.youtube.com/watch?v=0e7uplpFJdE&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=114&pp=iAQB8AUB
Stardust (별의 조각),https://www.youtube.com/watch?v=194g0izPfdA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=115&pp=iAQB8AUB
처음부터 너와 나,https://www.youtube.com/watch?v=4_phMXGTgrM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=116&pp=iAQB8AUB0gcJCY0JAYcqIYzv
More Than Words (Feat.Joosiq) (사랑한다는 말로는 (Feat.주시크)),https://www.youtube.com/watch?v=olDtq64LNow&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=117&pp=iAQB8AUB
사랑의 바보,https://www.youtube.com/watch?v=gAz5CB9UXI8&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=118&pp=iAQB8AUB
I Can't Have You,https://www.youtube.com/watch?v=IhKJpRdfFVc&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=119&pp=iAQB8AUB
Propose,https://www.youtube.com/watch?v=KdKucPl2lXA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=120&pp=iAQB8AUB
중독된 사랑,https://www.youtube.com/watch?v=Ap0Z4J5MmLA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=121&pp=iAQB8AUB
기억을 걷는 시간,https://www.youtube.com/watch?v=VZnfZ14fIig&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=122&pp=iAQB8AUB
Dark Cloud (먹구름),https://www.youtube.com/watch?v=o6W9VLK77nY&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=123&pp=iAQB8AUB
Charlie Puth - Light Switch [Official Music Video],https://www.youtube.com/watch?v=WFsAon_TWPQ&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=124&pp=iAQB8AUB
Complexes,https://www.youtube.com/watch?v=jThdobrOS-A&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=125&pp=iAQB8AUB0gcJCY0JAYcqIYzv
The Fire,https://www.youtube.com/watch?v=u263CA6f_58&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=126&pp=iAQB8AUB
빨간 맛 Red Flavor,https://www.youtube.com/watch?v=BLavT7w4R9I&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=127&pp=iAQB8AUB
썸 탈꺼야,https://www.youtube.com/watch?v=krpfUwaftPs&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=128&pp=iAQB8AUB
Helena,https://www.youtube.com/watch?v=a_1tA0bpDQs&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=129&pp=iAQB8AUB
ANTIFRAGILE,https://www.youtube.com/watch?v=SZiwpL62to8&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=130&pp=iAQB8AUB0gcJCY0JAYcqIYzv
Wild Flower (야생화),https://www.youtube.com/watch?v=ZtcM3KhgF-s&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=131&pp=iAQB8AUB
Your Love Is a Lie,https://www.youtube.com/watch?v=F5of9pJjnRM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=132&pp=iAQB8AUB
crushcrushcrush,https://www.youtube.com/watch?v=p1Gr_Bg2Eag&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=133&pp=iAQB8AUB
That's Hilarious,https://www.youtube.com/watch?v=LPjyycIdihs&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=134&pp=iAQB8AUB
Lost Stars,https://www.youtube.com/watch?v=UOf6uHwB3Tk&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=135&pp=iAQB8AUB
I'm Not Okay (I Promise),https://www.youtube.com/watch?v=UgmY2sB71Hc&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=136&pp=iAQB8AUB
Save Your Tears,https://www.youtube.com/watch?v=RmYCOm4ehKs&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=137&pp=iAQB8AUB
STAY,https://www.youtube.com/watch?v=XfEMj-z3TtA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=138&pp=iAQB8AUB
HER,https://www.youtube.com/watch?v=g4pDuadNyzo&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=139&pp=iAQB8AUB
Blinding Lights,https://www.youtube.com/watch?v=J7p4bzqLvCw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=140&pp=iAQB8AUB
Fences,https://www.youtube.com/watch?v=zyUMk-XiVsA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=141&pp=iAQB8AUB0gcJCY0JAYcqIYzv
Maniac,https://www.youtube.com/watch?v=ipkaSc30uXw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=142&pp=iAQB8AUB
응급실,https://www.youtube.com/watch?v=E-BvyQb7mWE&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=143&pp=iAQB8AUB
빈차 (Home Is Far Away) ft. OH HYUK,https://www.youtube.com/watch?v=6U2h_iccLXE&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=144&pp=iAQB8AUB
Where the Lines Overlap,https://www.youtube.com/watch?v=WJe9M-lwZOw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=145&pp=iAQB8AUB
Peaches,https://www.youtube.com/watch?v=5rnawnfK2sQ&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=146&pp=iAQB8AUB
Savior,https://www.youtube.com/watch?v=vbMh38KGZMM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=147&pp=iAQB8AUB0gcJCY0JAYcqIYzv
